cardholder_id,Token,SubBIN,card_network,card_type,home_country,account_open_date,avg_txn_amount,std_txn_amount,usual_online_ratio,risk_segment,prior_chargebacks
CH0000103,868062764,546786,MASTERCARD,DEBIT,USA,2020-06-05,73.1,10.64,0.455,MEDIUM,0
CH0000104,131223668,548056,MASTERCARD,DEBIT,USA,2024-06-05,53.87,28.26,0.162,LOW,1
CH0000105,152472467,485858,VISA,CREDIT,DEU,2021-12-08,85.76,50.19,0.297,HIGH,0
CH0000106,353245502,535660,MASTERCARD,DEBIT,DEU,2022-07-10,178.26,29.4,0.263,HIGH,0
CH0000107,925886917,409417,VISA,CREDIT,IND,2018-08-15,75.03,36.85,0.67,LOW,1
CH0000108,364234381,420146,VISA,DEBIT,GBR,2019-02-22,77.28,26.17,0.38,LOW,0
CH0000109,490885124,443887,VISA,DEBIT,USA,2023-02-20,55.52,48.29,0.244,MEDIUM,0
CH0000110,695724862,545873,MASTERCARD,CREDIT,GBR,2020-06-30,44.52,39.25,0.094,LOW,0
CH0000111,213652661,545873,MASTERCARD,DEBIT,CAN,2021-10-29,72.04,14.71,0.492,LOW,0
CH0000112,601328936,420146,VISA,CREDIT,GBR,2019-04-24,67.09,35.47,0.242,LOW,0
CH0000113,554513945,535017,MASTERCARD,PREPAID,IND,2021-08-03,170.48,10.74,0.374,LOW,0
CH0000114,805508387,535017,MASTERCARD,CREDIT,GBR,2020-08-03,30.96,35.47,0.617,LOW,0
CH0000115,697882185,465456,VISA,DEBIT,USA,2020-01-01,213.5,22.89,0.262,MEDIUM,0
CH0000116,468267797,535660,MASTERCARD,DEBIT,GBR,2019-05-12,59.3,29.86,0.362,LOW,0
CH0000117,465748174,409417,VISA,PREPAID,GBR,2020-01-19,75.1,32.93,0.442,LOW,0
CH0000118,476162870,556337,MASTERCARD,DEBIT,IND,2022-12-02,28.45,32.1,0.094,LOW,1
CH0000119,832618345,485858,VISA,CREDIT,USA,2019-12-05,104.54,63.46,0.095,LOW,0
CH0000120,389094158,408594,VISA,CREDIT,GBR,2022-10-15,30.93,27.67,0.16,LOW,0
CH0000121,250275627,452647,VISA,DEBIT,GBR,2019-12-21,89.9,30.37,0.327,LOW,0
CH0000122,400862297,408594,VISA,DEBIT,AUS,2018-07-04,83.14,60.21,0.223,MEDIUM,0
CH0000123,120440865,535660,MASTERCARD,CREDIT,USA,2021-10-01,51.39,84.61,0.08,LOW,0
CH0000124,195528324,497561,VISA,CREDIT,USA,2018-11-22,12.78,26.83,0.404,LOW,0
CH0000125,181043074,485858,VISA,DEBIT,USA,2023-11-16,375.59,19.94,0.325,MEDIUM,0
CH0000126,794397171,546786,MASTERCARD,CREDIT,USA,2022-01-19,28.69,20.54,0.413,MEDIUM,0
CH0000127,750123414,528539,MASTERCARD,CREDIT,IND,2019-01-16,82.95,35.53,0.392,MEDIUM,0
CH0000128,727093712,532518,MASTERCARD,DEBIT,GBR,2019-12-27,37.19,24.0,0.123,LOW,0
CH0000129,515689506,497561,VISA,DEBIT,USA,2022-09-24,154.22,9.49,0.19,LOW,0
CH0000130,745352660,408594,VISA,CREDIT,USA,2021-07-16,49.23,53.19,0.3,LOW,0
CH0000131,245144600,443301,VISA,CREDIT,GBR,2024-03-07,36.54,44.22,0.338,LOW,0
CH0000132,550940296,528539,MASTERCARD,PREPAID,CAN,2019-05-30,107.35,53.95,0.326,LOW,0
CH0000133,944246251,516405,MASTERCARD,DEBIT,GBR,2024-01-21,24.11,60.73,0.113,LOW,0
CH0000134,547597067,548056,MASTERCARD,PREPAID,GBR,2021-02-10,47.91,30.4,0.36,MEDIUM,0
CH0000135,726688336,528539,MASTERCARD,CREDIT,CAN,2021-07-31,115.84,31.7,0.148,LOW,0
CH0000136,546063283,465456,VISA,CREDIT,AUS,2020-09-30,222.62,49.6,0.382,MEDIUM,0
CH0000137,501540647,535660,MASTERCARD,DEBIT,GBR,2022-01-17,30.88,13.08,0.285,LOW,0
CH0000138,249592684,485858,VISA,DEBIT,IND,2024-05-07,40.88,21.94,0.13,LOW,0
CH0000139,314889638,465456,VISA,CREDIT,GBR,2020-06-10,88.39,26.16,0.143,HIGH,0
CH0000140,371360879,497561,VISA,DEBIT,IND,2018-11-16,13.49,47.14,0.409,LOW,0
CH0000141,715330595,409417,VISA,DEBIT,USA,2020-10-15,197.57,19.63,0.475,LOW,0
CH0000142,646476787,519127,MASTERCARD,PREPAID,CAN,2024-08-19,29.98,17.68,0.267,LOW,0
CH0000143,408331696,469736,VISA,DEBIT,USA,2024-03-14,47.0,20.93,0.324,MEDIUM,1
CH0000144,206205311,532518,MASTERCARD,PREPAID,GBR,2023-01-26,82.16,35.94,0.18,LOW,0
CH0000145,405049424,516405,MASTERCARD,CREDIT,AUS,2022-12-03,69.48,26.02,0.356,MEDIUM,0
CH0000146,429637182,535660,MASTERCARD,CREDIT,GBR,2024-02-06,30.85,11.35,0.75,LOW,0
CH0000147,917722620,519127,MASTERCARD,DEBIT,GBR,2018-11-14,264.32,12.78,0.38,HIGH,0
CH0000148,545559092,409417,VISA,CREDIT,USA,2019-12-11,8.5,29.43,0.499,LOW,0
CH0000149,729736419,409417,VISA,CREDIT,USA,2019-09-30,27.18,30.02,0.12,LOW,0
CH0000150,339282964,443887,VISA,PREPAID,GBR,2018-06-01,40.07,27.57,0.309,MEDIUM,0
CH0000151,787806506,408594,VISA,DEBIT,USA,2019-01-16,31.19,20.44,0.139,MEDIUM,0
CH0000152,972258738,528539,MASTERCARD,DEBIT,GBR,2023-10-10,176.91,43.49,0.09,LOW,0
CH0000153,337172374,497561,VISA,PREPAID,IND,2024-10-12,17.7,33.83,0.179,LOW,0
CH0000154,800875812,420146,VISA,DEBIT,DEU,2019-12-31,231.82,33.15,0.545,LOW,0
CH0000155,335026000,485858,VISA,CREDIT,USA,2018-10-06,53.38,33.86,0.23,HIGH,0
CH0000156,745201169,497561,VISA,DEBIT,USA,2020-03-10,22.45,70.7,0.204,MEDIUM,0
CH0000157,810105905,516405,MASTERCARD,DEBIT,USA,2019-02-09,12.42,14.66,0.26,MEDIUM,0
CH0000158,504425351,408594,VISA,CREDIT,GBR,2020-10-24,56.14,21.06,0.3,MEDIUM,0
CH0000159,345017405,551986,MASTERCARD,CREDIT,CAN,2021-11-14,38.03,22.16,0.228,LOW,0
CH0000160,171328162,549302,MASTERCARD,CREDIT,DEU,2024-01-19,80.58,57.66,0.293,LOW,0
CH0000161,186751865,551986,MASTERCARD,DEBIT,CAN,2020-05-17,46.5,21.67,0.57,HIGH,0
CH0000162,912342155,408594,VISA,CREDIT,FRA,2022-12-16,143.26,16.85,0.411,LOW,0
CH0000163,214819164,549302,MASTERCARD,PREPAID,USA,2023-02-03,59.5,25.44,0.359,HIGH,0
CH0000164,510198660,443887,VISA,DEBIT,IND,2019-01-03,47.51,28.87,0.782,LOW,0
CH0000165,733628853,420146,VISA,DEBIT,GBR,2020-06-23,145.27,55.58,0.274,LOW,0
CH0000166,282127027,516405,MASTERCARD,DEBIT,ESP,2021-12-03,80.04,21.59,0.385,LOW,0
CH0000167,749454757,549302,MASTERCARD,CREDIT,USA,2019-07-13,123.93,17.95,0.49,LOW,0
CH0000168,375360961,443301,VISA,DEBIT,GBR,2019-12-22,167.16,15.71,0.555,LOW,0
CH0000169,621297611,535017,MASTERCARD,CREDIT,CAN,2021-08-29,52.72,22.05,0.442,MEDIUM,0
CH0000170,592216544,477394,VISA,DEBIT,USA,2018-04-27,68.76,126.24,0.335,LOW,0
CH0000171,259095504,545873,MASTERCARD,CREDIT,FRA,2024-09-27,130.98,34.11,0.392,LOW,0
CH0000172,516885317,556337,MASTERCARD,CREDIT,CAN,2021-08-06,9.39,38.82,0.35,LOW,0
CH0000173,870952854,546786,MASTERCARD,CREDIT,AUS,2022-02-11,61.47,27.11,0.115,LOW,1
CH0000174,117571592,532518,MASTERCARD,DEBIT,USA,2024-02-07,55.71,29.44,0.266,LOW,0
CH0000175,747516659,545873,MASTERCARD,DEBIT,USA,2020-01-11,89.95,43.46,0.562,LOW,0
CH0000176,696968210,551986,MASTERCARD,CREDIT,CAN,2024-04-01,35.13,38.0,0.522,LOW,0
CH0000177,488883735,549302,MASTERCARD,DEBIT,GBR,2020-03-03,160.19,33.43,0.368,LOW,0
CH0000178,377800480,535660,MASTERCARD,CREDIT,GBR,2019-10-31,36.96,27.38,0.533,LOW,0
CH0000179,664577955,485858,VISA,DEBIT,ESP,2021-08-22,46.19,21.95,0.281,MEDIUM,0
CH0000180,625688171,516405,MASTERCARD,DEBIT,DEU,2023-04-12,39.19,34.97,0.188,LOW,0
CH0000181,684861940,485858,VISA,DEBIT,FRA,2018-04-07,178.38,28.51,0.243,MEDIUM,0
CH0000182,665870757,556337,MASTERCARD,CREDIT,GBR,2020-02-29,12.57,97.48,0.49,LOW,1
CH0000183,175999888,485858,VISA,PREPAID,GBR,2024-02-20,278.52,50.93,0.264,MEDIUM,0
CH0000184,781739105,485858,VISA,DEBIT,DEU,2019-12-13,216.74,18.09,0.426,LOW,0
CH0000185,474226661,535017,MASTERCARD,DEBIT,GBR,2023-11-11,42.44,13.44,0.252,LOW,0
CH0000186,808197811,485858,VISA,DEBIT,USA,2020-09-18,151.64,21.35,0.07,LOW,0
CH0000187,137452756,420146,VISA,PREPAID,GBR,2023-03-08,74.0,14.15,0.084,LOW,1
CH0000188,261510848,516405,MASTERCARD,CREDIT,AUS,2020-08-21,250.22,20.59,0.035,LOW,0
CH0000189,544591736,443887,VISA,DEBIT,USA,2019-07-01,142.67,15.15,0.405,MEDIUM,0
CH0000190,269402654,443887,VISA,CREDIT,GBR,2019-08-18,385.49,22.28,0.16,LOW,0
CH0000191,396875090,497561,VISA,CREDIT,USA,2019-10-09,19.11,22.44,0.159,LOW,0
CH0000192,694539138,485858,VISA,CREDIT,GBR,2020-02-24,77.72,29.62,0.663,LOW,0
CH0000193,230071769,485858,VISA,DEBIT,IND,2019-09-15,16.79,23.95,0.272,LOW,0
CH0000194,709932646,408925,VISA,CREDIT,USA,2018-10-31,44.04,15.78,0.193,LOW,0
CH0000195,193062670,420146,VISA,CREDIT,USA,2018-12-26,403.32,56.2,0.175,LOW,0
CH0000196,628880114,469736,VISA,DEBIT,USA,2019-09-17,96.99,34.53,0.497,LOW,0
CH0000197,814134910,408925,VISA,DEBIT,GBR,2021-12-09,146.59,19.56,0.212,LOW,0
CH0000198,253533671,545873,MASTERCARD,DEBIT,GBR,2022-12-13,100.6,15.93,0.342,LOW,0
CH0000199,369993511,549302,MASTERCARD,DEBIT,FRA,2022-10-12,95.62,11.24,0.331,LOW,0
CH0000200,932608105,477394,VISA,DEBIT,USA,2020-10-14,43.91,10.76,0.467,MEDIUM,0
CH0000201,990715320,469736,VISA,CREDIT,USA,2020-11-15,37.83,50.83,0.307,LOW,0
CH0000202,622955024,535017,MASTERCARD,CREDIT,GBR,2022-01-16,42.98,47.69,0.279,MEDIUM,0
CH0000203,502334336,548056,MASTERCARD,DEBIT,ESP,2022-02-28,7.51,19.1,0.23,LOW,0
CH0000204,412182823,409417,VISA,DEBIT,CAN,2020-01-11,62.45,61.54,0.116,LOW,0
CH0000205,631823941,497561,VISA,CREDIT,GBR,2021-05-23,80.79,39.25,0.35,LOW,0
CH0000206,365277730,443301,VISA,DEBIT,USA,2024-10-21,40.63,30.63,0.212,LOW,0
CH0000207,120523483,532518,MASTERCARD,DEBIT,USA,2023-12-26,60.07,45.48,0.67,LOW,0
CH0000208,236348475,528539,MASTERCARD,CREDIT,CAN,2022-09-10,101.5,39.29,0.359,LOW,0
CH0000209,962703290,528539,MASTERCARD,DEBIT,ESP,2022-04-02,135.35,29.73,0.604,LOW,0
CH0000210,476339421,485858,VISA,DEBIT,CAN,2019-12-24,25.58,23.48,0.276,MEDIUM,0
CH0000211,534073092,469736,VISA,CREDIT,AUS,2021-09-26,35.31,25.42,0.302,LOW,0
CH0000212,520396796,443887,VISA,CREDIT,USA,2022-01-18,121.8,10.33,0.228,LOW,0
CH0000213,804461703,469736,VISA,DEBIT,GBR,2024-05-05,106.83,16.77,0.674,LOW,0
CH0000214,158460909,469736,VISA,CREDIT,IND,2024-07-08,195.49,79.85,0.334,LOW,0
CH0000215,174456999,549302,MASTERCARD,PREPAID,CAN,2018-03-17,189.11,16.5,0.157,LOW,0
CH0000216,537992497,443301,VISA,DEBIT,GBR,2019-02-09,460.31,8.93,0.377,MEDIUM,0
CH0000217,704011635,519127,MASTERCARD,CREDIT,USA,2024-09-04,52.76,46.64,0.331,HIGH,0
CH0000218,541636294,465456,VISA,DEBIT,GBR,2021-11-11,235.77,31.47,0.147,LOW,0
CH0000219,944043808,408925,VISA,DEBIT,GBR,2018-09-18,31.94,32.55,0.513,MEDIUM,0
CH0000220,244917049,535017,MASTERCARD,DEBIT,DEU,2020-02-13,452.71,24.67,0.221,LOW,0
CH0000221,614555246,535660,MASTERCARD,DEBIT,GBR,2024-05-22,95.94,46.83,0.418,LOW,0
CH0000222,588020201,420146,VISA,DEBIT,CAN,2022-01-11,102.89,67.88,0.335,LOW,0
CH0000223,526140460,545873,MASTERCARD,CREDIT,GBR,2019-02-14,147.22,19.83,0.176,LOW,0
CH0000224,340278096,485858,VISA,DEBIT,IND,2022-11-28,22.55,39.64,0.383,LOW,0
CH0000225,958395575,443301,VISA,PREPAID,DEU,2021-03-23,28.22,53.04,0.594,MEDIUM,0
CH0000226,590504032,497561,VISA,DEBIT,CAN,2022-10-01,73.15,19.17,0.532,LOW,0
CH0000227,568605161,420146,VISA,CREDIT,AUS,2023-08-10,87.93,67.07,0.441,LOW,0
CH0000228,495020313,545873,MASTERCARD,CREDIT,GBR,2019-02-12,352.85,52.94,0.174,LOW,0
CH0000229,356103062,485858,VISA,DEBIT,GBR,2023-05-15,31.21,12.87,0.432,MEDIUM,0
CH0000230,119450871,549302,MASTERCARD,CREDIT,IND,2020-12-27,228.64,70.6,0.583,MEDIUM,0
CH0000231,427310427,551986,MASTERCARD,CREDIT,CAN,2022-07-22,53.92,13.28,0.222,LOW,0
CH0000232,843662730,443887,VISA,DEBIT,CAN,2020-10-14,53.32,17.95,0.236,LOW,0
CH0000233,108924576,477394,VISA,DEBIT,CAN,2019-07-25,58.49,40.86,0.497,LOW,0
CH0000234,906544693,452647,VISA,CREDIT,GBR,2021-03-13,52.24,50.65,0.272,LOW,0
CH0000235,588544381,551986,MASTERCARD,CREDIT,GBR,2023-12-09,98.42,28.77,0.261,HIGH,0
CH0000236,226224179,549302,MASTERCARD,DEBIT,FRA,2022-12-28,48.62,18.58,0.412,LOW,0
CH0000237,371961395,535660,MASTERCARD,CREDIT,USA,2023-04-18,21.58,23.19,0.397,LOW,0
CH0000238,598632528,409417,VISA,DEBIT,CAN,2020-04-10,53.83,21.6,0.162,MEDIUM,0
CH0000239,384122951,485858,VISA,DEBIT,USA,2020-04-01,96.09,44.91,0.315,LOW,0
CH0000240,197718166,546786,MASTERCARD,CREDIT,DEU,2023-12-18,21.72,21.25,0.261,LOW,0
CH0000241,699389994,443301,VISA,PREPAID,AUS,2020-10-12,106.21,18.34,0.226,MEDIUM,0
CH0000242,705016082,516405,MASTERCARD,DEBIT,GBR,2021-10-17,171.47,11.17,0.297,HIGH,0
CH0000243,206986826,443301,VISA,DEBIT,DEU,2022-02-01,217.88,18.98,0.385,MEDIUM,1
CH0000244,319485925,408594,VISA,DEBIT,GBR,2019-02-17,87.37,25.25,0.2,LOW,1
CH0000245,693480370,546786,MASTERCARD,CREDIT,USA,2024-07-11,15.74,13.76,0.188,LOW,0
CH0000246,757266027,497561,VISA,DEBIT,AUS,2020-01-09,111.95,9.52,0.073,HIGH,0
CH0000247,754295151,545873,MASTERCARD,DEBIT,GBR,2021-02-27,144.57,48.81,0.595,LOW,0
CH0000248,944885117,452647,VISA,DEBIT,GBR,2023-03-10,38.2,14.88,0.589,LOW,0
CH0000249,791782741,519127,MASTERCARD,PREPAID,IND,2023-05-21,62.92,12.36,0.361,MEDIUM,0
CH0000250,388611497,535017,MASTERCARD,DEBIT,ESP,2023-10-30,98.19,69.53,0.763,LOW,0
CH0000251,196966851,528539,MASTERCARD,CREDIT,GBR,2020-10-18,278.61,45.12,0.348,LOW,0
CH0000252,653178544,549302,MASTERCARD,DEBIT,IND,2020-07-03,54.34,50.16,0.051,LOW,0
CH0000253,924410659,549302,MASTERCARD,DEBIT,USA,2023-01-29,136.05,36.71,0.39,LOW,0
CH0000254,977639786,545873,MASTERCARD,DEBIT,USA,2022-05-10,85.89,59.55,0.293,LOW,0
